age,income,credit_score,debt_amount,monthly_expenses,employment_years,loan_amount,existing_credits,interest_rate,payment_history,default
40.0,20000.0,602.0,25078.66,9575.67,1.3,36228.5,5.0,8.8,77.86,1.0
26.0,38566.83,691.0,35674.22,,0.4,42776.77,0.0,13.0,68.77,1.0
40.0,78871.56,659.0,42689.46,10000.0,15.7,47553.41,1.0,11.25,94.57,1.0
48.0,50145.7,759.0,10526.15,10000.0,5.8,12412.61,6.0,8.45,49.41,1.0
40.0,31738.84,707.0,47535.36,9942.18,10.2,16198.99,5.0,6.89,79.17,1.0
38.0,44003.86,647.0,6011.63,10000.0,0.5,36696.73,5.0,13.1,65.9,1.0
51.0,28087.12,565.0,24059.81,10000.0,0.7,35040.47,6.0,10.41,68.11,0.0
25.0,34423.16,567.0,16695.26,10000.0,14.3,30352.64,4.0,9.9,83.21,1.0
49.0,34332.1,632.0,34212.5,8954.06,1.2,24241.82,3.0,11.17,45.47,1.0
37.0,20000.0,759.0,49674.52,4153.17,3.6,33112.5,7.0,21.24,96.79,1.0
42.0,34065.53,574.0,903.31,8036.3,0.9,15777.46,3.0,10.06,63.78,0.0
57.0,84420.95,721.0,24880.41,10000.0,2.2,21387.16,7.0,16.57,88.08,0.0
23.0,21620.06,635.0,11865.73,6664.66,5.0,49094.17,3.0,7.8,88.44,0.0
29.0,26230.52,611.0,,10000.0,2.1,21690.5,3.0,12.81,79.25,1.0
49.0,32225.91,577.0,16348.43,10000.0,3.3,20224.45,,12.3,91.27,0.0
46.0,20000.0,693.0,15060.64,9290.41,0.9,11951.18,4.0,7.12,80.72,0.0
20.0,41351.39,578.0,34578.89,10000.0,1.9,17889.84,0.0,10.04,80.71,1.0
33.0,23618.68,619.0,40094.39,10000.0,4.6,18702.93,7.0,13.59,100.0,0.0
37.0,20000.0,586.0,33656.08,4549.63,2.9,23960.15,3.0,12.26,77.66,1.0
35.0,65113.75,670.0,30064.04,10000.0,1.2,25674.42,5.0,13.18,73.69,0.0
36.0,41977.43,816.0,38066.87,10000.0,6.6,25919.25,3.0,5.89,64.88,0.0
60.0,20000.0,622.0,25276.28,8020.17,2.8,27808.99,5.0,14.49,46.83,0.0
53.0,40855.93,712.0,2821.21,10000.0,2.8,25847.12,6.0,13.9,100.0,0.0
29.0,39772.58,670.0,18109.59,10000.0,4.6,21439.16,5.0,12.21,72.84,1.0
33.0,46142.51,677.0,40563.1,10000.0,1.5,20212.36,5.0,10.67,85.66,0.0
56.0,53023.7,576.0,38044.09,10000.0,3.0,48767.96,2.0,9.68,61.33,1.0
39.0,20000.0,770.0,34815.48,6134.22,2.6,18745.11,3.0,19.34,81.94,1.0
42.0,38357.19,708.0,32215.14,10000.0,0.9,34714.68,7.0,17.65,100.0,0.0
38.0,80546.77,609.0,10155.93,10000.0,2.1,40941.92,7.0,6.92,100.0,1.0
20.0,33556.84,616.0,9818.43,6794.99,,30733.18,7.0,8.13,60.57,0.0
21.0,30702.75,784.0,21106.13,10000.0,1.6,27272.76,2.0,3.91,79.19,0.0
53.0,32355.29,706.0,52734.34,10000.0,1.5,18934.74,6.0,19.72,80.89,0.0
38.0,36569.31,648.0,27971.27,8931.87,,24531.41,0.0,11.9,71.85,1.0
58.0,25427.26,659.0,21175.34,10000.0,0.1,40915.07,6.0,15.74,48.9,1.0
30.0,30596.97,620.0,3887.32,10000.0,0.7,47522.7,7.0,14.81,99.07,0.0
45.0,52095.61,560.0,17132.2,10000.0,0.6,37129.98,5.0,11.28,74.38,0.0
53.0,,686.0,19585.51,10000.0,0.7,36159.36,1.0,,,1.0
37.0,42747.52,550.0,38860.41,10000.0,1.2,40490.09,7.0,9.89,58.87,1.0
61.0,20000.0,698.0,5793.56,5427.05,,46964.56,3.0,12.63,78.55,1.0
53.0,27654.41,682.0,24435.48,10000.0,2.2,31503.02,7.0,10.91,79.15,1.0
48.0,42357.5,513.0,4777.22,10000.0,2.4,28160.17,1.0,12.06,85.21,0.0
28.0,27725.84,588.0,,7088.78,3.0,12974.16,2.0,15.09,87.09,0.0
52.0,41275.11,729.0,49982.12,10000.0,0.3,17204.23,1.0,10.13,80.39,1.0
30.0,47043.57,592.0,27801.5,10000.0,1.1,15933.39,3.0,9.23,59.72,1.0
71.0,22293.79,734.0,10759.02,8379.05,3.3,31848.36,4.0,9.42,90.5,1.0
38.0,27232.9,660.0,63401.27,7948.16,6.3,22968.24,4.0,11.9,100.0,1.0
33.0,26542.87,795.0,35616.28,7559.46,3.8,39725.54,7.0,13.87,56.45,1.0
47.0,25246.21,630.0,23883.5,10000.0,2.4,16646.56,1.0,13.14,89.16,0.0
45.0,48045.09,736.0,37508.83,10000.0,1.9,13390.39,0.0,13.29,83.12,1.0
52.0,41597.25,548.0,8784.15,10000.0,1.9,36815.01,3.0,12.08,80.45,
34.0,58054.76,609.0,26441.81,10000.0,1.3,26908.28,1.0,12.67,72.82,1.0
34.0,68041.84,578.0,22196.93,10000.0,8.5,31965.55,2.0,15.1,57.72,1.0
52.0,41503.17,721.0,26234.26,10000.0,,44093.47,2.0,18.9,74.56,1.0
33.0,29063.8,766.0,48693.58,10000.0,1.3,27182.15,7.0,7.97,66.22,0.0
42.0,21980.91,589.0,24479.73,9747.61,9.4,20016.46,1.0,14.95,76.79,1.0
44.0,35428.37,704.0,8159.17,7591.33,2.4,34924.51,0.0,12.87,100.0,1.0
33.0,26400.28,608.0,15652.89,5800.89,1.1,41890.17,7.0,16.26,71.44,1.0
47.0,23952.36,688.0,16716.65,10000.0,2.4,14842.56,4.0,16.64,100.0,0.0
44.0,26731.71,619.0,29287.98,8961.74,3.9,50102.05,5.0,11.47,68.03,0.0
61.0,20000.0,592.0,24503.1,9617.04,1.2,32237.88,6.0,11.95,97.83,1.0
52.0,128471.99,608.0,17658.41,10000.0,4.0,,1.0,13.75,74.61,1.0
46.0,48792.28,739.0,37307.23,10000.0,5.8,41692.96,3.0,16.15,89.73,1.0
30.0,33404.33,662.0,43097.63,9331.95,2.9,26066.61,6.0,12.09,99.18,0.0
48.0,39956.62,654.0,4602.16,10000.0,3.8,51632.55,5.0,11.08,83.29,1.0
43.0,41138.18,776.0,23570.57,10000.0,3.7,31866.09,3.0,10.66,82.91,1.0
31.0,62119.54,568.0,26994.55,10000.0,6.6,14768.13,4.0,10.32,85.66,1.0
62.0,79440.37,645.0,16672.01,10000.0,0.5,8011.94,3.0,13.32,72.47,1.0
33.0,21793.86,707.0,28657.01,10000.0,0.6,38724.57,5.0,13.95,78.51,1.0
31.0,91429.05,564.0,2117.12,10000.0,1.9,32433.39,5.0,11.28,85.28,1.0
53.0,20000.0,766.0,23767.73,7319.64,2.8,34567.53,0.0,13.71,86.72,1.0
48.0,50079.22,756.0,27947.82,10000.0,1.8,44401.17,4.0,9.97,100.0,1.0
31.0,35593.6,536.0,26921.57,10000.0,4.6,23473.76,0.0,10.66,51.66,1.0
49.0,,456.0,1241.46,9553.25,4.4,34254.58,3.0,9.1,79.28,1.0
50.0,36250.15,557.0,47550.97,10000.0,1.6,30268.86,4.0,12.63,49.37,0.0
36.0,32093.58,595.0,9975.7,10000.0,12.1,36408.43,3.0,10.29,88.59,0.0
32.0,73106.88,724.0,25894.46,10000.0,4.0,33934.85,0.0,14.69,89.53,1.0
42.0,61376.13,607.0,44760.91,10000.0,15.9,23108.12,4.0,17.21,82.97,1.0
45.0,26220.35,611.0,20194.79,10000.0,3.4,24263.0,0.0,11.93,100.0,0.0
41.0,86143.65,685.0,25570.05,10000.0,3.7,19772.07,4.0,11.23,54.97,0.0
58.0,44338.63,702.0,17752.2,10000.0,0.6,15356.25,3.0,12.67,95.71,1.0
39.0,84285.39,613.0,41180.21,10000.0,1.7,38836.6,4.0,13.96,56.35,0.0
44.0,75983.4,760.0,15616.56,10000.0,3.3,32606.74,5.0,10.35,69.93,1.0
35.0,35854.45,744.0,33154.0,10000.0,4.3,1514.57,5.0,15.45,53.9,0.0
53.0,30296.26,560.0,5579.78,7765.52,1.3,33465.04,0.0,11.86,87.16,1.0
34.0,37737.55,547.0,39944.0,10000.0,0.4,25718.85,2.0,16.5,92.75,1.0
64.0,30505.86,,20175.47,8171.43,2.9,34300.42,4.0,15.09,83.58,0.0
39.0,31903.75,634.0,23925.98,10000.0,4.1,,4.0,14.2,78.79,0.0
44.0,37771.78,490.0,38744.92,10000.0,5.4,1037.45,2.0,18.27,77.91,1.0
27.0,63202.01,567.0,34191.61,10000.0,1.1,49140.31,7.0,11.43,83.26,1.0
44.0,56108.01,690.0,27256.28,10000.0,22.1,29423.81,3.0,12.6,95.76,0.0
26.0,63118.11,745.0,34580.95,10000.0,10.2,18536.55,5.0,12.91,68.69,1.0
45.0,35169.37,676.0,29820.36,9588.62,10.0,34535.34,5.0,11.27,94.46,1.0
48.0,65823.7,552.0,33961.0,10000.0,1.5,43757.07,1.0,11.55,81.88,1.0
22.0,33305.04,651.0,8555.87,10000.0,9.9,21530.39,2.0,9.03,47.7,1.0
52.0,26384.16,544.0,49630.23,10000.0,1.0,52524.36,3.0,14.95,75.13,1.0
20.0,20000.0,833.0,4156.41,8985.15,5.6,54397.52,4.0,16.15,88.46,1.0
43.0,48892.4,718.0,36383.93,10000.0,2.2,29374.07,3.0,9.74,75.79,1.0
26.0,20000.0,642.0,10171.13,9476.12,2.4,43920.02,3.0,14.75,56.44,1.0
37.0,22140.99,,10262.69,10000.0,3.5,20316.56,1.0,12.32,59.99,1.0
45.0,26884.8,676.0,1105.09,5490.3,2.0,35524.9,4.0,12.67,100.0,1.0
46.0,38661.99,616.0,26834.46,8139.55,2.1,30405.92,3.0,9.89,70.06,1.0
31.0,20000.0,790.0,6342.05,4979.87,1.0,38949.24,5.0,11.12,98.72,0.0
65.0,25932.56,672.0,12469.79,10000.0,0.6,33098.21,3.0,13.9,86.21,1.0
38.0,33102.24,640.0,25657.17,10000.0,5.2,52105.23,7.0,10.33,59.45,0.0
59.0,34747.36,850.0,12944.88,10000.0,10.7,24464.12,3.0,13.71,100.0,1.0
27.0,30044.54,634.0,16274.79,10000.0,1.0,17760.6,4.0,12.1,68.45,1.0
50.0,40818.59,526.0,29963.2,10000.0,0.3,33740.57,2.0,15.68,61.86,0.0
39.0,83808.21,684.0,14424.82,10000.0,3.5,30760.05,5.0,,66.19,0.0
29.0,39524.67,537.0,23331.61,10000.0,1.0,42360.93,3.0,15.27,89.14,0.0
41.0,21032.91,625.0,43196.47,9672.74,20.3,33933.18,2.0,12.58,75.36,1.0
51.0,38823.09,638.0,35621.63,10000.0,0.9,16687.67,1.0,6.49,87.62,1.0
69.0,20916.98,478.0,30828.68,4649.07,2.0,38384.91,2.0,12.25,78.52,1.0
43.0,57499.89,627.0,29010.88,10000.0,1.0,39920.42,7.0,11.48,68.66,0.0
39.0,47489.07,578.0,25422.72,10000.0,5.9,34746.98,4.0,11.92,92.27,1.0
24.0,72773.25,695.0,25155.29,10000.0,0.7,26947.75,7.0,10.17,77.2,1.0
45.0,37358.84,692.0,23942.52,7963.71,2.1,10245.33,2.0,9.18,77.84,1.0
54.0,20000.0,698.0,47961.26,7402.09,1.6,44907.26,7.0,12.45,74.94,1.0
42.0,26723.5,626.0,19177.35,8338.21,2.3,30030.46,3.0,13.31,97.86,1.0
51.0,58382.83,531.0,13308.82,10000.0,0.5,27752.35,0.0,8.49,52.97,0.0
18.0,47606.82,711.0,16352.34,10000.0,1.2,33918.04,2.0,7.56,82.75,1.0
28.0,36038.57,696.0,26793.71,10000.0,6.6,28414.7,0.0,11.92,66.0,1.0
60.0,29096.08,579.0,22405.81,7306.18,0.5,13864.39,6.0,16.41,76.86,1.0
61.0,25989.91,733.0,15915.77,10000.0,3.9,25120.89,2.0,18.47,70.91,0.0
58.0,52630.32,674.0,44526.12,10000.0,2.1,22465.82,1.0,13.38,69.83,1.0
42.0,99378.75,661.0,19520.18,10000.0,0.5,20283.86,2.0,15.6,70.15,1.0
48.0,21515.84,693.0,42785.56,4774.55,,22432.05,1.0,7.73,100.0,0.0
46.0,30904.59,630.0,44922.91,10000.0,3.2,51650.02,1.0,10.07,93.92,1.0
46.0,37365.63,671.0,47927.03,10000.0,3.4,40725.07,6.0,10.91,67.41,1.0
26.0,21538.46,493.0,55843.11,5536.23,1.6,27231.87,6.0,12.92,92.24,0.0
43.0,55839.5,603.0,22493.17,10000.0,1.6,46073.46,5.0,13.47,91.02,1.0
24.0,50586.53,744.0,27715.32,10000.0,3.0,23486.43,3.0,10.41,88.8,0.0
60.0,67449.98,652.0,29632.5,10000.0,2.5,56016.83,0.0,13.7,53.59,1.0
48.0,52927.1,680.0,44346.29,,1.7,17757.02,6.0,11.37,67.24,0.0
44.0,27166.46,697.0,50048.57,7554.32,,34446.03,1.0,15.59,70.85,1.0
47.0,33961.79,651.0,13226.53,10000.0,1.8,34195.32,6.0,9.34,73.44,0.0
35.0,52114.09,620.0,50904.46,10000.0,2.5,39325.91,3.0,7.74,53.59,1.0
70.0,20000.0,751.0,16722.13,7928.49,1.1,31845.51,6.0,16.63,100.0,1.0
47.0,101798.62,747.0,40360.94,10000.0,4.4,24488.14,5.0,9.55,79.95,1.0
51.0,33353.16,614.0,35445.81,10000.0,2.2,44775.3,3.0,8.57,77.1,1.0
38.0,25376.75,501.0,23759.79,10000.0,9.1,36308.12,0.0,,100.0,1.0
28.0,66870.74,697.0,21602.74,,1.4,40887.49,6.0,17.65,100.0,0.0
18.0,28440.67,560.0,27113.29,5938.53,2.8,28523.97,4.0,10.6,56.08,1.0
18.0,46948.2,607.0,7451.25,10000.0,1.9,47722.52,3.0,16.98,73.14,0.0
43.0,26873.45,688.0,10024.22,7499.83,4.3,42269.33,4.0,11.7,76.94,1.0
44.0,23412.11,584.0,21602.82,10000.0,5.0,21968.21,0.0,16.48,75.93,0.0
50.0,35929.59,590.0,11363.6,10000.0,4.2,27186.72,5.0,12.2,,1.0
24.0,20000.0,608.0,36913.97,6800.69,2.7,16434.18,2.0,13.4,79.47,0.0
30.0,20000.0,743.0,13981.13,7884.41,2.4,41486.37,3.0,8.95,80.93,0.0
35.0,44999.57,705.0,27646.62,10000.0,0.9,30861.44,6.0,8.78,36.18,1.0
27.0,45174.13,722.0,10443.99,10000.0,3.7,50574.95,2.0,12.06,69.08,
30.0,33141.84,760.0,15310.54,10000.0,1.2,20466.71,3.0,12.37,100.0,1.0
21.0,42682.3,630.0,20622.83,10000.0,4.8,29221.63,6.0,11.46,100.0,1.0
53.0,42166.29,590.0,18604.64,10000.0,2.2,15617.22,0.0,14.76,69.98,0.0
55.0,92655.99,736.0,18290.17,10000.0,2.1,38527.74,4.0,13.45,67.3,1.0
35.0,26323.7,732.0,19978.37,10000.0,0.8,34235.99,6.0,18.19,63.99,
45.0,36757.95,763.0,,10000.0,0.7,34283.07,2.0,11.44,94.79,0.0
43.0,65755.13,850.0,33694.5,10000.0,2.4,26468.34,2.0,13.02,75.57,0.0
53.0,39506.89,755.0,9901.86,10000.0,7.5,28819.31,1.0,5.63,70.88,1.0
33.0,69459.37,648.0,10010.47,10000.0,4.6,35467.34,3.0,11.28,74.5,0.0
36.0,29855.4,576.0,49230.64,6671.3,6.8,45213.16,6.0,14.99,73.53,1.0
43.0,44438.66,648.0,11444.47,10000.0,0.6,41876.79,0.0,10.61,83.02,0.0
34.0,41841.5,629.0,33800.41,10000.0,4.8,16540.2,3.0,12.38,100.0,1.0
42.0,22022.82,596.0,32708.62,6115.36,2.8,34891.87,4.0,13.9,96.65,1.0
62.0,44574.15,631.0,35088.61,10000.0,1.8,20254.71,5.0,15.32,78.19,1.0
38.0,20000.0,718.0,16970.08,8581.15,2.8,31905.0,2.0,14.13,73.47,0.0
47.0,46936.59,629.0,36082.16,10000.0,0.8,40859.82,1.0,10.39,92.12,1.0
35.0,43636.26,797.0,21648.01,10000.0,,26968.2,5.0,14.4,55.76,0.0
60.0,21443.11,565.0,39254.61,4815.27,1.8,28311.78,1.0,12.21,97.43,0.0
46.0,22841.25,669.0,39627.96,9212.44,2.4,40010.46,4.0,3.89,90.17,0.0
56.0,26185.53,504.0,32668.04,10000.0,1.7,39528.75,0.0,16.84,99.72,0.0
20.0,82452.88,709.0,26131.5,10000.0,1.6,21567.53,6.0,18.51,77.36,1.0
60.0,38622.97,694.0,25654.04,10000.0,1.1,31946.07,0.0,9.77,60.2,1.0
31.0,26745.34,647.0,18560.47,8149.09,0.5,29168.94,4.0,7.49,91.4,0.0
30.0,37843.7,533.0,20361.86,10000.0,2.8,43404.5,2.0,6.37,81.73,0.0
30.0,33521.21,704.0,28197.95,10000.0,1.5,22039.74,6.0,15.23,80.32,1.0
21.0,93957.27,645.0,14373.9,10000.0,0.3,14158.64,2.0,12.8,87.63,
41.0,20000.0,722.0,17754.08,8018.38,10.0,38968.39,5.0,11.19,66.63,1.0
28.0,20000.0,592.0,21833.05,8459.03,1.8,30768.52,3.0,11.33,70.25,0.0
56.0,39510.72,685.0,8644.01,10000.0,1.8,30188.5,5.0,14.12,83.5,1.0
44.0,58487.5,673.0,15813.44,10000.0,0.6,31085.6,2.0,11.9,76.88,
41.0,34054.97,499.0,16769.13,10000.0,2.3,19723.25,6.0,15.8,67.01,0.0
61.0,58966.73,684.0,15306.59,10000.0,0.6,39191.54,4.0,15.0,69.94,1.0
43.0,72855.45,630.0,29330.4,10000.0,1.7,38108.08,2.0,14.38,53.77,1.0
53.0,69714.95,517.0,40488.19,10000.0,0.7,25891.86,2.0,8.68,76.78,1.0
56.0,31131.73,712.0,44654.63,10000.0,1.1,27907.78,7.0,6.95,67.91,1.0
32.0,58831.09,779.0,6484.77,10000.0,1.9,32801.61,4.0,9.57,86.36,0.0
40.0,28654.92,649.0,33194.26,10000.0,1.3,28903.9,4.0,11.73,74.45,
36.0,31907.68,778.0,33413.79,10000.0,4.0,26661.81,4.0,15.52,85.54,0.0
26.0,34418.48,686.0,1436.86,8134.0,,31429.43,4.0,17.2,100.0,0.0
33.0,49962.38,690.0,2015.87,10000.0,0.9,23791.52,2.0,11.5,72.92,0.0
42.0,20000.0,710.0,8908.85,7550.78,15.9,20806.15,5.0,4.41,75.71,0.0
45.0,62974.16,807.0,6556.76,10000.0,1.3,28940.52,0.0,19.93,57.46,0.0
41.0,41227.87,687.0,41286.79,8431.18,2.7,26083.51,5.0,12.81,74.85,1.0
39.0,49552.4,620.0,30656.51,10000.0,6.2,29486.06,4.0,6.68,98.93,1.0
56.0,23089.51,598.0,16065.08,9191.52,0.2,61377.49,0.0,15.17,83.35,1.0
47.0,35332.31,673.0,32816.84,10000.0,3.5,30895.81,0.0,11.41,77.73,1.0
18.0,32943.39,741.0,33903.35,7435.39,3.9,31947.36,2.0,11.94,74.17,0.0
44.0,63707.42,726.0,13406.83,10000.0,0.8,16203.82,2.0,10.12,92.94,0.0
46.0,58487.16,691.0,35876.44,10000.0,1.1,34319.23,0.0,14.4,91.31,1.0
52.0,65805.37,707.0,30271.72,10000.0,1.9,21181.25,5.0,11.51,68.83,0.0
36.0,25910.69,638.0,13113.7,10000.0,0.3,32132.94,3.0,12.0,67.74,1.0
30.0,50494.66,725.0,886.6,10000.0,0.9,20600.97,0.0,14.49,77.09,0.0
25.0,31816.57,490.0,34531.27,6893.25,2.1,32773.77,6.0,16.08,60.37,1.0
54.0,20000.0,665.0,52007.67,8492.51,2.5,25083.64,0.0,14.42,65.4,1.0
73.0,46082.05,690.0,40903.15,9941.14,3.0,24910.36,0.0,11.92,53.46,1.0
41.0,25658.84,617.0,17138.67,9440.02,0.9,41210.31,3.0,12.0,79.86,1.0
29.0,30824.12,662.0,37376.47,10000.0,1.0,26962.74,0.0,7.96,67.71,1.0
42.0,28620.82,720.0,28938.42,6237.59,4.7,28626.28,0.0,13.17,78.45,0.0
38.0,41468.16,603.0,11582.26,10000.0,8.3,39262.15,1.0,14.9,98.54,1.0
36.0,37961.54,666.0,15735.22,8863.73,3.7,42038.84,5.0,11.58,73.25,1.0
18.0,36325.09,698.0,3342.18,10000.0,1.2,17792.88,5.0,10.48,77.78,0.0
43.0,28951.46,766.0,,10000.0,3.7,18611.67,7.0,15.12,78.86,0.0
49.0,50779.11,564.0,1693.62,10000.0,2.9,20979.48,2.0,9.39,96.88,1.0
47.0,20036.16,781.0,11490.69,9306.56,1.4,36031.87,1.0,10.37,77.56,0.0
33.0,37066.16,570.0,36112.37,10000.0,1.6,20056.51,6.0,4.31,77.13,0.0
36.0,121334.65,713.0,24711.09,10000.0,2.0,35471.19,5.0,8.46,96.71,0.0
40.0,51932.01,707.0,31577.14,10000.0,3.9,35918.14,7.0,10.94,71.4,1.0
22.0,38212.89,774.0,6413.39,9245.57,2.4,30508.88,1.0,12.52,83.66,1.0
30.0,32480.62,769.0,986.44,10000.0,1.8,13568.11,6.0,11.47,100.0,1.0
32.0,36696.74,668.0,6097.53,10000.0,1.4,26822.85,2.0,15.84,88.37,1.0
53.0,20832.53,670.0,32473.33,8892.15,9.7,19849.06,0.0,9.57,61.14,0.0
39.0,32305.41,687.0,39810.02,10000.0,1.5,31517.58,1.0,9.49,100.0,1.0
40.0,20000.0,665.0,55354.09,9667.3,1.7,26425.55,6.0,11.46,100.0,1.0
36.0,20000.0,773.0,3640.64,7662.14,1.3,35885.53,1.0,7.21,86.93,0.0
32.0,99922.96,541.0,27845.59,10000.0,3.1,30191.48,1.0,10.08,87.32,1.0
24.0,89516.12,635.0,35796.37,10000.0,,34724.06,0.0,16.45,85.33,1.0
47.0,31053.63,650.0,6243.88,7959.19,4.8,25479.1,0.0,10.59,83.99,1.0
37.0,29191.71,645.0,56495.83,10000.0,,23524.58,7.0,14.23,77.28,1.0
32.0,26247.17,756.0,46294.05,8472.05,0.3,40075.14,4.0,9.95,91.86,0.0
48.0,20000.0,721.0,6832.42,9038.44,2.0,20460.61,4.0,10.78,90.29,1.0
21.0,38290.12,697.0,54646.61,10000.0,10.1,31043.56,4.0,9.3,60.05,0.0
58.0,33038.86,724.0,23086.76,10000.0,0.5,29879.11,3.0,8.24,85.45,0.0
42.0,56581.86,616.0,14063.21,10000.0,3.1,34042.95,0.0,15.71,63.93,0.0
43.0,51026.89,745.0,1678.81,10000.0,1.2,29184.77,3.0,13.04,72.69,1.0
26.0,25903.83,653.0,8691.31,,3.9,18512.06,4.0,14.0,86.94,0.0
28.0,20000.0,596.0,42911.64,6481.44,1.3,34620.61,1.0,14.35,76.23,1.0
51.0,26936.7,764.0,51083.49,8094.84,2.2,21917.34,2.0,9.51,87.84,1.0
21.0,44765.77,762.0,34756.75,10000.0,5.7,20019.39,3.0,10.85,83.75,0.0
37.0,98502.16,850.0,34100.85,10000.0,3.4,38876.55,0.0,11.04,100.0,1.0
45.0,40742.84,690.0,34988.86,10000.0,4.6,23827.47,2.0,10.33,63.5,0.0
60.0,45240.62,712.0,31866.59,10000.0,2.0,36687.42,2.0,8.72,74.19,1.0
39.0,51419.3,718.0,20590.5,10000.0,0.4,26429.71,2.0,14.67,88.63,1.0
